,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
3292,Birthday Girl,13000000,4919896,8130727,13050623,50623
3020,BlacKkKlansman,15000000,49275340,93017335,142292675,127292675
3784,Black Christmas,9000000,16235738,16235738,32471476,23471476
414,Black Hawk Down,95000000,108638745,159691085,268329830,173329830
1683,Black Knight,35000000,33422806,33422806,66845612,31845612
1058,Black Mass,53000000,62575678,98837872,161413550,108413550
41,Black Panther,200000000,700059566,1348258224,2048317790,1848317790
1900,Black Rain,30000000,45892212,45892212,91784424,61784424
3101,Black Snake Moan,15000000,9396870,10951153,20348023,5348023
3245,Black Swan,13000000,106954678,331266710,438221388,425221388
3660,Black and White,10000000,5241315,5241315,10482630,482630
3779,Black or White,9000000,21571189,21971021,43542210,34542210
1270,Blade,45000000,70141876,131237688,201379564,156379564
1049,Blade 2,54000000,81676888,154338601,236015489,182015489
2061,Blade Runner,28000000,32656328,39342912,71999240,43999240
79,Blade Runner 2049,185000000,92054159,259357408,351411567,166411567
799,Blade: Trinity,65000000,52397389,131353165,183750554,118750554
836,Blades of Glory,61000000,118594548,145594548,264189096,203189096
3600,Blair Witch,10000000,20777061,38985577,59762638,49762638
1698,Blast from the Past,35000000,26613620,26613620,53227240,18227240
